row_id,input_type,input_text,output_json,skip_reason,industry,monthly_revenue_raw,use_of_funds,requested_amount_raw,product_interest,pending_actions_count,has_stacked_history,current_active_positions_count,recent_stacking_active,review_flag
inbound_032,client_sms,[BIZ] [EMAIL],"{""_extraction_scope"":""lead_only"",""skip_reason"":""contact_info_only"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",contact_info_only,,,,,,0,false,,false,
inbound_033,client_sms,I will work on that when will you do a hard pull of credit?,"{""_extraction_scope"":""lead_only"",""skip_reason"":""no_signal"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[{""actor"":""lead"",""action"":""work on credit-related items"",""timing"":null}],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",no_signal,,,,,,1,false,,false,
inbound_034,client_sms,Personal not business,"{""_extraction_scope"":""lead_only"",""skip_reason"":""no_signal"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",no_signal,,,,,,0,false,,false,
inbound_035,client_sms,"Just 3, have a contract on one, should close in couple weeks","{""_extraction_scope"":""lead_only"",""skip_reason"":""no_signal"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":true,""current_active_positions"":{""count"":3,""total_debt_usd"":null},""recent_stacking_activity"":{""active"":false,""window"":null}}",no_signal,,,,,,0,true,3,false,
inbound_036,client_sms,330.000k balance on n mortgage,"{""_extraction_scope"":""lead_only"",""skip_reason"":null,""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[""HELOC""],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",,,,,,HELOC,0,false,,false,
inbound_037,client_sms,"Yes, but not in the market ... wasted enough of my time currently","{""_extraction_scope"":""lead_only"",""skip_reason"":""no_signal"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",no_signal,,,,,,0,false,,false,
inbound_038,client_sms,[EMAIL],"{""_extraction_scope"":""lead_only"",""skip_reason"":""contact_info_only"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",contact_info_only,,,,,,0,false,,false,
inbound_039,client_sms,"Yes and yes and it's not what I'm looking for. It's just it's nice to know you have the bit of time to pay off if you need to, but I would like a line of credit. I'm trying to get up to $500,000 cause there's a couple pieces of big equipment that I need that cost quite a bit of money.","{""_extraction_scope"":""lead_only"",""skip_reason"":null,""industry"":"""",""monthly_revenue"":null,""use_of_funds"":{""category"":""equipment"",""detail"":""couple pieces of big equipment""},""requested_amount"":{""value_usd"":500000,""raw"":""$500,000""},""product_interest"":[""LOC"",""EQUIPMENT""],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",,,,equipment: couple pieces of big equipment,"$500,000","LOC,EQUIPMENT",0,false,,false,
inbound_040,client_sms,That's not a good deal lol I have 25 people a day calling me with the same shit,"{""_extraction_scope"":""lead_only"",""skip_reason"":""no_signal"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",no_signal,,,,,,0,false,,false,
inbound_041,client_sms,April I have $1990 and $3200. And my next deposit will be $5000.. those for April.,"{""_extraction_scope"":""lead_only"",""skip_reason"":""no_signal"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",no_signal,,,,,,0,false,,false,
inbound_042,client_sms,How many statements?,"{""_extraction_scope"":""lead_only"",""skip_reason"":""too_short"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",too_short,,,,,,0,false,,false,
inbound_043,client_sms,or a waste of time lol,"{""_extraction_scope"":""lead_only"",""skip_reason"":""too_short"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",too_short,,,,,,0,false,,false,
inbound_044,client_sms,I'd like to finance a Semi Truck,"{""_extraction_scope"":""lead_only"",""skip_reason"":null,""industry"":"""",""monthly_revenue"":null,""use_of_funds"":{""category"":""equipment"",""detail"":""Semi Truck""},""requested_amount"":null,""product_interest"":[""EQUIPMENT""],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",,,,equipment: Semi Truck,,EQUIPMENT,0,false,,false,
inbound_045,client_sms,[EMAIL],"{""_extraction_scope"":""lead_only"",""skip_reason"":""contact_info_only"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",contact_info_only,,,,,,0,false,,false,
inbound_046,client_sms,2024    do ya want it ?,"{""_extraction_scope"":""lead_only"",""skip_reason"":""no_signal"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",no_signal,,,,,,0,false,,false,
inbound_047,client_sms,No 12 months is shit I already turned down 24 months,"{""_extraction_scope"":""lead_only"",""skip_reason"":""no_signal"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",no_signal,,,,,,0,false,,false,
inbound_048,client_sms,[EMAIL],"{""_extraction_scope"":""lead_only"",""skip_reason"":""contact_info_only"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",contact_info_only,,,,,,0,false,,false,
inbound_049,client_sms,Wrong number. No business here. Personal number. Please STOP,"{""_extraction_scope"":""lead_only"",""skip_reason"":""unrelated"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",unrelated,,,,,,0,false,,false,
inbound_050,client_sms,Ok I have been scammed before and do not want to go the that again,"{""_extraction_scope"":""lead_only"",""skip_reason"":""no_signal"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",no_signal,,,,,,0,false,,false,
